COUNTRY_OF_ASYLUM,RETURN_DATE,ORIG_PROV_NAME,ORIG_DIST_NAME,DESTINATION_PROV_NAME,DESTINATION_DIST_NAME,INDIVIDUALS,MALE,FEMALE,
#country,#date+occurred,#admin1+name+x_origin,#admin2+name+x_origin,#admin1+name+x_destination,#admin2+name+x_destination,#affected+displaced+all,#affected+displaced+m,#affected+displaced+f,
Pakistan,15-Mar-18,Uruzgan,Chora,Uruzgan,Chora,3,2,1,
Iran,16-Mar-18,Bamyan,Bamyan,Bamyan,Bamyan,1,0,1,
Iran,16-Mar-18,Bamyan,Waras,Kabul,Kabul,1,1,0,
Iran,16-Mar-18,Ghazni,Ghazni,Ghazni,Ghazni,1,0,1,
Iran,16-Mar-18,Ghazni,Jaghuri,Herat,Herat,1,0,1,
Iran,16-Mar-18,Herat,Herat,Kabul,Kabul,1,1,0,
Iran,16-Mar-18,Laghman,Alishang,Kabul,Kabul,1,1,0,
Iran,16-Mar-18,Sar-e-Pul,Sancharak(sangchark),Herat,Herat,1,1,0,
Iran,16-Mar-18,Wardak,Maydanshahr,Wardak,Maydanshahr,5,2,3,
Pakistan,16-Mar-18,Baghlan,Pul-e- khumri,Baghlan,Pul-e- khumri,1,0,1,
Pakistan,16-Mar-18,Kunduz,Kunduz,Kabul,Kabul,2,1,1,
Pakistan,16-Mar-18,Logar,Charkh,Logar,Pul-e- Alam,1,1,0,
Pakistan,16-Mar-18,Logar,Mohammadagha,Logar,Pul-e- Alam,1,0,1,
Pakistan,17-Mar-18,Ghazni,Nawur,Ghazni,Nawur,5,2,3,
Pakistan,17-Mar-18,Kabul,Bagrami,Kabul,Bagrami,16,8,8,
Pakistan,17-Mar-18,Kabul,Paghman,Kabul,Paghman,2,1,1,
Pakistan,17-Mar-18,Kunduz,Dasht-e-Archi,Hilmand,Nad-e-Ali,4,0,4,
Pakistan,17-Mar-18,Kunduz,Dasht-e-Archi,Kunduz,Dasht-e-Archi,3,2,1,
Pakistan,17-Mar-18,Laghman,Qarghayi,Kabul,Kabul,3,2,1,
Pakistan,17-Mar-18,Logar,Azra,Kabul,Bagrami,4,1,3,
